"genes"	"modules"
"11818"	"M1"
"14244"	"M1"
"535"	"M1"
"3576"	"M4"
"975"	"M5"
"10777"	"M1"
"10310"	"M6"
"8420"	"M1"
"8553"	"M4"
"6961"	"M1"
"14900"	"M1"
"12406"	"M1"
"1856"	"M4"
"268"	"M8"
"11255"	"M4"
"3817"	"M1"
"13302"	"M1"
"7629"	"M4"
"9099"	"M2"
"14809"	"M1"
"6566"	"M4"
"4308"	"M2"
"8491"	"M4"
"16379"	"M7"
"13915"	"M4"
"13451"	"M4"
"4663"	"M4"
"10557"	"M3"
"16149"	"M1"
"11971"	"M8"
"11610"	"M1"
"6464"	"M1"
"14862"	"M1"
"11705"	"M1"
"13277"	"M4"
"12290"	"M1"
"5226"	"M2"
"15330"	"M1"
"10593"	"M4"
"14014"	"M1"
"9314"	"M3"
"2003"	"M1"
"2397"	"M4"
"5125"	"M1"
"5851"	"M1"
"992"	"M1"
"9910"	"M1"
"3575"	"M1"
"12261"	"M1"
"3638"	"M5"
"16109"	"M1"
"8704"	"M1"
"552"	"M1"
"11035"	"M1"
"9182"	"M2"
"3557"	"M1"
"1667"	"M1"
"6585"	"M1"
"15388"	"M1"
"86"	"M4"
"1078"	"M1"
"5469"	"M1"
"4356"	"M2"
"12438"	"M6"
"9504"	"M1"
"10882"	"M1"
"15547"	"M1"
"1141"	"M6"
"2080"	"M3"
"8312"	"M1"
"5830"	"M1"
"2675"	"M1"
"9417"	"M2"
"8050"	"M1"
"8101"	"M7"
"8213"	"M1"
"12658"	"M2"
"7755"	"M1"
"14204"	"M4"
"3812"	"M2"
"1575"	"M3"
"11883"	"M3"
"11603"	"M3"
"12792"	"M1"
"11026"	"M1"
"9212"	"M1"
"6946"	"M2"
"10959"	"M7"
"10142"	"M1"
"5355"	"M1"
"4633"	"M1"
"833"	"M6"
"1161"	"M1"
"5360"	"M1"
"5049"	"M1"
"15884"	"M3"
"3386"	"M6"
"6522"	"M1"
"5599"	"M5"
"6817"	"M1"
"5278"	"M1"
"4274"	"M7"
"1276"	"M1"
"13413"	"M1"
"3289"	"M6"
"6199"	"M1"
"11216"	"Not.Correlated"
"16528"	"M1"
"7551"	"M1"
"4967"	"M1"
"9145"	"M6"
"7550"	"M1"
"12851"	"M1"
"15926"	"M5"
"7681"	"M4"
"5979"	"M1"
"9015"	"M2"
"13921"	"M1"
"10472"	"M2"
"1473"	"M7"
"1479"	"M4"
"1092"	"M1"
"3636"	"M4"
"3670"	"M1"
"16232"	"M1"
"11882"	"M3"
"6441"	"M4"
"11995"	"M6"
"1111"	"M1"
"12629"	"M1"
"13307"	"M8"
"4310"	"M1"
"12673"	"M3"
"2084"	"M3"
"10861"	"M1"
"10060"	"M2"
"10273"	"M1"
"759"	"M8"
"16641"	"M1"
"2919"	"M6"
"4870"	"M1"
"9039"	"M3"
"14298"	"M3"
"9088"	"M2"
"11054"	"M1"
"7140"	"M1"
"3591"	"M5"
"11372"	"M4"
"10448"	"M1"
"3222"	"M4"
"5283"	"M4"
"8355"	"M4"
"7050"	"M2"
"8801"	"M1"
"9947"	"M4"
"13949"	"M1"
"15963"	"M3"
"8484"	"M2"
"16644"	"M4"
"10674"	"M3"
"1329"	"M1"
"14231"	"M1"
"1347"	"M1"
"1220"	"M1"
"9375"	"M1"
"12008"	"M2"
"14457"	"M4"
"8776"	"M4"
"3225"	"M1"
"3893"	"M1"
"383"	"M4"
"4302"	"M1"
"15857"	"M1"
"6162"	"M1"
"6796"	"M2"
"3454"	"M4"
"2147"	"M2"
"15416"	"M2"
"14476"	"M4"
"14326"	"M2"
"2596"	"M5"
"11075"	"M2"
"239"	"M1"
"10827"	"M1"
"11419"	"M1"
"7825"	"M7"
"9236"	"M1"
"13077"	"M1"
"10307"	"M2"
"4862"	"M1"
"9615"	"M1"
"3496"	"M1"
"12678"	"M4"
"3215"	"M1"
"2981"	"M1"
"12188"	"M2"
"10123"	"M5"
"12959"	"M1"
"3746"	"M1"
"311"	"M1"
"7920"	"M1"
"3455"	"M2"
"16067"	"M1"
"5816"	"M1"
"3525"	"M1"
"2047"	"M1"
"10509"	"M5"
"16663"	"M2"
"2798"	"M1"
"4535"	"M4"
"1699"	"M1"
"14140"	"M2"
"8111"	"M4"
"6987"	"M4"
"11791"	"M2"
"8758"	"M6"
"5103"	"M1"
"10151"	"M4"
"12856"	"M1"
"5265"	"M1"
"815"	"M6"
"11513"	"M1"
"4368"	"M1"
"3644"	"M1"
"10240"	"M2"
"3077"	"M1"
"15072"	"M3"
"643"	"M4"
"9120"	"M4"
"11871"	"M1"
"9854"	"M1"
"9116"	"M1"
